brand_id,brand_name,brand_logo,brand_description,site_url,sort_order,is_show
1001,212,,212,,50,1
1002,212 Men,,212 Men,,50,1
1003,Adam Levine,,Adam Levine,,50,1
1004,Ahava,,Ahava,,50,1
1005,Anastasia Beverly Hills,,Anastasia Beverly Hills,,50,1
1006,Aramis,,Aramis,,50,1
1007,Art of Shaving,,Art of Shaving,,50,1
1008,Azzaro,,Azzaro,,50,1
1009,Babyliss,,Babyliss,,50,1
1010,BCBGMAXAZRIA,,BCBGMAXAZRIA,,50,1
1011,Benefit,,Benefit,,50,1
1012,Beyonce,,Beyonce,,50,1
1013,Big Girl,,Big Girl,,50,1
1014,Bliss,,Bliss,,50,1
1015,Boston Red Sox,,Boston Red Sox,,50,1
1016,Boucheron,,Boucheron,,50,1
1017,Burberry,,Burberry,,50,1
1018,Burt's Bees,,Burt's Bees,,50,1
1019,BVLGARI,,BVLGARI,,50,1
1020,Cacharel,,Cacharel,,50,1
1021,cargo cosmetics,,cargo cosmetics,,50,1
1022,Cartier,,Cartier,,50,1
1023,CHANEL,,CHANEL,,50,1
1024,Clarins,,Clarins,,50,1
1025,Clinique,,Clinique,,50,1
1026,Conair,,Conair,,50,1
1027,Curve,,Curve,,50,1
1028,Davidoff,,Davidoff,,50,1
1029,Dior,,Dior,,50,1
1030,Dolce & Gabbana,,Dolce & Gabbana,,50,1
1031,Drakkar,,Drakkar,,50,1
1032,Ed Hardy,,Ed Hardy,,50,1
1033,Elizabeth Arden,,Elizabeth Arden,,50,1
1034,Essie,,Essie,,50,1
1035,Fendi,,Fendi,,50,1
1036,Fossil,,Fossil,,50,1
1037,Furla,,Furla,,50,1
1038,Gendarme,,Gendarme,,50,1
1039,Giorgio of Beverly Hills,,Giorgio of Beverly Hills,,50,1
1040,Guerlain,,Guerlain,,50,1
1041,Hanae Mori,,Hanae Mori,,50,1
1042,Issey Miyake,,Issey Miyake,,50,1
1043,Jack Black,,Jack Black,,50,1
1044,Jaipur,,Jaipur,,50,1
1045,Jean Paul Gaultier,,Jean Paul Gaultier,,50,1
1046,Jessica Simpson,,Jessica Simpson,,50,1
1047,John Varvatos,,John Varvatos,,50,1
1048,Kale Naturals,,Kale Naturals,,50,1
1049,Katy Perry,,Katy Perry,,50,1
1050,Kenneth Cole Reaction,,Kenneth Cole Reaction,,50,1
1051,Lab Series,,Lab Series,,50,1
1052,Lamik,,Lamik,,50,1
1053,Laundry by Shelli Segal,,Laundry by Shelli Segal,,50,1
1054,Laura Mercier,,Laura Mercier,,50,1
1055,Lauren Ralph Lauren,,Lauren Ralph Lauren,,50,1
1056,LeSportsac,,LeSportsac,,50,1
1057,MAC,,MAC,,50,1
1058,Marc Jacobs,,Marc Jacobs,,50,1
1059,Michel Germain,,Michel Germain,,50,1
1060,nails.inc,,nails.inc,,50,1
1061,Narciso Rodriguez,,Narciso Rodriguez,,50,1
1062,New York Yankees,,New York Yankees,,50,1
1063,Nina Ricci,,Nina Ricci,,50,1
1064,Oscar Blandi,,Oscar Blandi,,50,1
1065,Oscar de la Renta,,Oscar de la Renta,,50,1
1066,Paco Rabanne,,Paco Rabanne,,50,1
1067,Paris Hilton,,Paris Hilton,,50,1
1068,Perry Ellis,,Perry Ellis,,50,1
1069,Philips,,Philips,,50,1
1070,Pro Beauty,,Pro Beauty,,50,1
1071,Remington,,Remington,,50,1
1072,Rihanna,,Rihanna,,50,1
1073,Sarah Jessica Parker,,Sarah Jessica Parker,,50,1
1074,SK-II,,SK-II,,50,1
1075,Stila,,Stila,,50,1
1076,StriVectin,,StriVectin,,50,1
1077,T3,,T3,,50,1
1078,Tarte,,Tarte,,50,1
1079,Taylor Swift,,Taylor Swift,,50,1
1080,Tom Ford,,Tom Ford,,50,1
1081,Tommy Hilfiger,,Tommy Hilfiger,,50,1
1082,True Religion,,True Religion,,50,1
1083,Urban Decay,,Urban Decay,,50,1
1084,Versace,,Versace,,50,1
1085,Viktor & Rolf,,Viktor & Rolf,,50,1
1086,Wahl,,Wahl,,50,1
1087,Zirh,,Zirh,,50,1
